message,intent
"Okay, so you're doing similar lap times to Gasly. Paris has pulled away a little bit. That rain we talked about earlier is about 15 minutes away, but it's very light, so we don't think it'll affect.",INFORMATION
"So, Russell's the only car on hard tyres, he's dropping back his P17 and not making his way through cars. Okay, give me an update on the weather and the darkest hours.",INFORMATION
"We need to wait for Gasly to pit in case he gets a safety cut lag or something. Yeah, exactly. Gasly has pitted now. Gasly's just pitted. Won't be long now for us.",ORDER
"So, top four we are on soft. First one on medium is Piastri. Seven cards total with medium. And no one hard.",INFORMATION
"Weather update, so light rain expected in 5 minutes, arriving from turn 14 and lasting around 10 minutes.",INFORMATION
and this rain will last for around 10 minutes,INFORMATION
"Good job. Lieutenant, good job. Well managed.",INFORMATION
"No, I lost the hydraulics. I lost the hydraulics. Why the f*** am I so unlucky? Why the f*** am I so unlucky?",PROBLEM
"The hydraulics came back, the engine switched off. Why am I so unlucky?",PROBLEM
"and Inter is the right tyre, so continue like this, you are doing a good job Russell lap time 43.5",ORDER
and flap update when you can ok,ORDER
and push now everything you have,ORDER
"and more rain expected in six laps, light intensity",INFORMATION
"So slightly better than previous lap, slower everywhere, just turn 10, you were faster than him. But we are talking small, something small. And we have wind phase 7 to 8, similar to FP2.",ORDER
"Yeah, the exit of turn one is not the limit. So whatever, I'm struggling with the rear.",PROBLEM
And we are expecting drops to a light shower in around 10 minutes.,INFORMATION
so the situation is getting worse so we retire the car we retire,PROBLEM
I think Carlos is clogged up. Copy understood.,PROBLEM
"GAP2S, target 3.",ORDER
"So, gap two signs in front, 2.3 and we need 5 seconds in 5 laps.",INFORMATION
What happened there? We had to hold you for traffic.,QUESTION
"Both Mercedes pitted, new medium. I think it is the right choice. Consider Ivan Lapleta. We'll come back to you. So we are staying out.",INFORMATION
"Yeah, the rear ride guy is here, he's completely gone.",PROBLEM
I'm just trying not to put it in the world. Copy that.,INFORMATION
"And target gap to Sainz, we need 3 seconds. At the moment it's 1.0.",ORDER
I feel some instability and off braking. Do you think the last lap was going in the right direction? I will come back to you.,PROBLEM
"So, Eau Rouge is a bit wet from Fernando. Russell just fitted slicks. Russell exiting the pits, new slicks. This is not going to be long, Lance. It's about surviving.",INFORMATION
"Lance, soft or medium? Medium.",QUESTION
"That was good, we need this to get these tyres to the end. Norris, same situation as you. We're P8, we're trying to get to the end. Come on!",ORDER
"Copy that, Lance. Starting to struggle with tyres. Copy that, Lance.",PROBLEM
I don't understand what's taking so long. It's so obvious he cut the chicane. It's like ridiculous.,PROBLEM
"Okay, Lance, it was very clear to us. The stewards are investigating. It's under investigation.",WARNING
20 target minus 20,ORDER
"So much contact, man. And this is a disaster.",PROBLEM
"Okay Lance that was within our numbers, turn 7 management, turn 7 management was within our targets, there's a strong tailwind there. It's 15 up to 20 kph in 7 tailwind.",INFORMATION
"Okay, Lance, 13 to go, 13 to go. Other teams thinking extreme wet. It could be extreme wet. We're considering it. We'll start it, Terrain.",INFORMATION
"Still expecting two laps behind the safety car lines. Keep the tyre temps up as much as you can, tyres and brakes.",ORDER
"Okay, Lance, make some space before turn one and then lean on the tyres up to turn two.",ORDER
Raining hard at Torque 11.,WARNING
"One switch cool Lance, one switch cool, keep your delta positive. So if you can't phase out we should fit hard. We've done 18 laps Lance, long way to go, there's more rain coming. Yeah. Jun feels this is the best tyre for the conditions, we think this is the best tyre for the conditions and the context of the race. Make sure your brakes are working well.",ORDER
"Radio off, torque in low speed. The tyres, whatever, okay. Fine. Radio off, torque in low speed. Who's on all the tyres in front of me? Leclerc, five lap older.",ORDER
Make sure this time we do the undercut.,ORDER
I don't have the pace here. Copy. Keep managing your tyres. 14 to go.,PROBLEM
There's no point me just driving around slow on your train couch.,PROBLEM
Is Alex okay? Alex is okay. Alex is okay.,QUESTION
"Where's Bortas? Bortas has retired, no threat.",QUESTION
Front left is struggling a little.,PROBLEM
"If Perez gets behind me, how do you want me to race him? It's Monaco, so you're racing 100%. Remember it's Monaco.",QUESTION
Front right is cold. The only way to help that at the moment is maybe you can do brake warm up.,ORDER
What was that? Go race. Go race. Head down. Head down. Everybody saw it.,QUESTION
"I'll recover them, recover them. Target the Lyco, watch out you slip.",ORDER
"You okay? You okay? No, I crashed. I don't know what happened, man. Something failed on the front right when I hit the curb.",PROBLEM
"At the moment, assuming no change on front wing. Correct.",INFORMATION
Sorry for the place of the car.,INFORMATION
"Again, the tires came out of the blankets cold. Copy that, Gav.",PROBLEM
"No front wing, no front wing just. Okay, on the next time through we won't be able to do a front wing adjust letting you know, okay? In that case, let's try and go down 0.5.",PROBLEM
should be very light at this stage if any at all.,INFORMATION
"We're going to box for full wets Kev, we're going to box for full wets.",ORDER
"So these wets are cold, Kerb, there's no use back wets. Front wing, front wing.",PROBLEM
"Okay Kev, to make the car less snappy on power we're going to suggest DX2.",ORDER
"No issues on brakes Kev, no issues on brakes.",INFORMATION
So we try another point for to we have time for yes we can do that,ORDER
"Keep looking after tyres Kev, all good.",ORDER
Just let me know what I need to do.,ORDER
possible rain in 15 minutes possible rain in 15 minutes,INFORMATION
"So entering the pit lane and stopping in order, there are still eight laps to go at the end of this one.",INFORMATION
"Okay, Kev, so it's intermediate tyres for the restart behind the safety car.",INFORMATION
"Yeah, I guess you've had two laps behind the safety car and then a rolling start.",INFORMATION
"Okay Kev, boxing this lap, do you want a front wing adjustment? No front wing adjusts, no front wing adjusts. Copy that, so driving through the pit lane to do another lap.",QUESTION
"Expecting the most intense rain turn 13, 14.",INFORMATION
"But we still need to pit if we get a gap, because if there's more rain then these tyres are going to be f***ed. Copy, understood.",INFORMATION
"Use wet patches where possible, Curve. Use wet patches where possible and VC1, please. VC1. I'm not hearing anything about the gap, dude. Sorry, the gap to stopping, you'll come out in front of... Standby. You'll come out P12 if you stop now.",ORDER
"For reference Kev, Nico is carrying more speed through 7, 8 and 13 just for reference.",INFORMATION
"Hamilton has DRS, you do not.",INFORMATION
Need to get into Joe's DRS if possible Kev. He has DRS from Piastri unfortunately.,ORDER
"Yeah, my tie is a ****.",PROBLEM
"Organic heads up, we have a sail of rain developing around 10 minutes from the track. We keep an eye on it.",INFORMATION
"Box, box, box, box, and keep the pace up for timing soon.",ORDER
"I think we can look after the rear tires a bit more in Exit Turn 11, it's the worst place, Exit Turn 11.",ORDER
"Okay, Albon has pit it for hard, mode 3 when you can. Next car is Botas 5 behind.",ORDER
Copy that. On-drink system test before you jump out.,INFORMATION
"Hey Yuki, if you have one or two hands in your pocket, it's the moment to use it now.",ORDER
Yuki is difficult for everybody. You're doing a good job.,INFORMATION
"Yuki, we need to find some paces, mainly under braking. Let's do your best, I know it's difficult. I know, but this brake sucks! Offset 5, build it up under braking. You can do it. Are you trying to crush me or what?",ORDER
"Break is unreal, man.",PROBLEM
You hear rain is coming last corner. If it's heavy rain we are happy you to call the box.,INFORMATION
"Oh, there's a reset. Oh my god. Sorry, I have to remote.",PROBLEM
It's very windy.,INFORMATION
"My main thing is just to try to get this dash to work because my numbers are all wrong on the dash. The entire temps. Yeah, if you help out, we'll have a chat.",PROBLEM
"Car feels pretty good. It feels like exactly as we left off yesterday. The same balance. It's a bit neutral in 3 and 4 but then I think that's good for the low speed stuff. I feel quite good on the brakes so I think we just need to keep it like this. Will you hear me? Yes, it is. You don't have to ruin in. Let's take a review. There you go. There it is. It's fine.",INFORMATION
"So it's currently 42 laps to go, potential risk of rain with about 20 laps to go.",INFORMATION
The Tsunade is struggling on brakes.,PROBLEM
"All these brake changes, you're changing the way the car is feeling every single time.",PROBLEM
"So Alex, we're going to get at least 10 minutes warning. If you want to jump out of the car, you can.",INFORMATION
Mode 9 when you can for performance.,ORDER
"Okay, six cars have pity for Inter but our aim is still to survive. Just three laps.",INFORMATION
"and then Magnussen behind on Inter. So Alex, this is really good. These guys are going to have to pit again soon for dry.",INFORMATION
"HPP on, HPP on, and some people are now putting back onto drys, they're going to struggle with warm up.",ORDER
Alex we have a slow left front puncture.,PROBLEM
"So starting lap 21, our current plan is plan B plus 10, plan B plus 10. But that should be achievable.",INFORMATION
"What the f*** was that? Copy Alex, we saw it. We're on it.",PROBLEM
Can we also just check my seat? There's a bit of heat coming up from around my bum.,PROBLEM
"Alex, we're in a really good place, so we're still extending. This is an awesome job.",INFORMATION
"As soon as you get within half a second, it's incredible how little fight we have.",PROBLEM
"Carpill's a bit lazy, that's my main feeling right now. Copy that.",PROBLEM
WARNING FROM BREAK SPOT,WARNING
Drivers reporting strong wind and gusts.,WARNING
"My third break, guys, cut off really fast.",PROBLEM
Have a look at the mobile 30-bike over the market.,ORDER
Massive vibration.,PROBLEM
"Brakes are normal now Joe, full push now. Brakes are okay.",ORDER
"My brakes guys, unbelievable. I can't get it close. I cannot put the pedal. Enough.",PROBLEM
The only thing I can do with these breaks is after this aftermath. The more I get in 2 seconds I'm lucky.,PROBLEM
"Okay, sick, last mile. Have a job, have a job. We're looking at it.",PROBLEM
"It's okay, a bit of understand midcon and active sliding.",PROBLEM
Are we racing to win him for head or not?,QUESTION
Try to push turn 12. Minus 3 on target.,ORDER
Try to do a step turn 5 to turn 8 with the steering trace.,ORDER
Are we a little bit stuck here or not?,QUESTION
"Joe on tires, we need another step turn 18 and turn 19.",ORDER
"It can be less than that, it's difficult to turn man.",PROBLEM
"Check my front right, I've cleared the wall but it's still good Copy, checking front right",PROBLEM
The cable is getting stuck a little bit like last year. Make sure we can get it fixed. Cabotro wheel will fix.,PROBLEM
"I don't think it's a little bit of smoke in the back of the night. Copy, we're checking.",PROBLEM
The rear is going after the two push. Copy.,PROBLEM
"I feel like I've got some pace today, compared to these guys.",INFORMATION
Copy that. Soft runners have started boxing. We'll look at the traction.,INFORMATION
"Hi, Nico. So the rear temp has peaked, the surface temp has peaked, so hopefully some of it will come back a little bit on the rear.",INFORMATION
"Okay, Nico, the people who stopped earlier are pretty quick. Albon 3.7 behind, so let's use the tire now.",INFORMATION
Jesus though William was quick on the street.,INFORMATION
"There is quite a bit of smoke, but the power is not delivering. It's an issue.",PROBLEM
"Niko, very good job. You are closing up on everyone ahead now. This pace is amazing.",INFORMATION
Kevin ahead is still on drives very slow.,INFORMATION
You can use right toggle turn one to stabilize. We're currently P17 so we still need some miracles but this pace is excellent.,ORDER
I think I hit or picked up some debris there out of the tunnel. Fell on the front wing.,PROBLEM
"Okay, Nico, we'll check. Data is okay. We'll check the video too.",INFORMATION
"I'm trying to save tires as much as possible now, but let me know if I need to push up and I'm in front again, if someone fits.",INFORMATION
Sergeant's blocking for Elbon.,INFORMATION
Sergeant is holding everyone up. Kevin just got around Sergeant. So now it's Sergeant Stroll Perez-Joe Yu.,INFORMATION
Very good. Perez is 7 ahead.,INFORMATION
"I struggle to think we get to the end with this. So, uh...",PROBLEM
"A lot of understeer creeping in, all speeds but also traction getting very poor.",PROBLEM
"Okay, press IN button, cool the car, go to the grid, test your drink, and a static bite point learn when you arrive on the grid. See you there.",ORDER
"Turn 7-8 was good, it's 4. And then with the rain coming like 9 laps away, let's make this tire for 9 laps, get the lap time out of it.",ORDER
"We may have dropped soon, the big rain is 5 minutes away.",INFORMATION
"Great job, Nico. Just tell us everything you can about the conditions. We want to get on the right tire at the right time.",ORDER
"Box now, Nico. Box now.",ORDER
"So weather-wise, there is rain building, sometimes it disappears, so we're kind of prepared for that with our tire choice. Okay, and then we went through all the data and what is happening with our tires, we've reverted the laps to grid adjust. It was just too much, it took out too much front, and then we've corrected for the tire compound for the race start. So we basically used the first lap, first lap air balance, and then just corrected for delta, for our tire? Yeah, that's correct.",INFORMATION
"Yeah, loud and clear. Okay, so it's restarting on an inter. We go two minutes early, along with all these people, to unlap ourselves. There'll be two total laps under the safety car, and then six racing laps remaining after that. Okay, so we're still on our interbalance and inter switches, which is all fine.",INFORMATION
In two or three minutes we'll probably have light drizzle for a few minutes.,INFORMATION
"Okay, that's two times past safety car line one, so you can catch the pack. The main pack is going into seven. Okay, Nikos, good job on brakes. You're with the pack now. So the people who have stopped is Bottas onto medium, Stroll onto medium, you and Lawson onto medium, and Russell's gone under hard. Other people have not stopped yet, they're all still on soft. The next rain, if it comes, would be in like 25 laps. So we'll see what happens there, otherwise we'll just see how long we can take this tire.",INFORMATION
"Do you want to flap adjust, Nico? Not really, but it's new sticky tires. Let's maybe try, which way would you go? I would take off, yeah. I would try less, I guess, and see what it feels like. Okay, copy. Take half percent down. Turn 10 feels pretty low in grip, like tailwind, I think. The rear is pretty unhappy there. Yes, on the tailwind into 10. Also 1 and 6 and 7 are tailwind. Okay, so we've taken off 0.5. We'll get a feel. One more grid. Go to the grid after this. Close the radio, Gary. It's too loud.",QUESTION
"See you turn 10 is unbelievable. And I know it was 5 left, I'm saying. Yeah, understood. Maybe try 10 without the left toggle just to see what it does.",ORDER
Albon will be coming out on a medium.,INFORMATION
"I feel like I've lost brake efficiency. Oh, they're cold. Brake temps are okay, we're checking everything.",PROBLEM
Consider EB11 one step less. EB11.,ORDER
"Okay, yeah, debris hit my rear wing. It's broken. Yeah, I tried to miss it. I think it was a piece of a tire in the air. But it got my rear wing. Yeah, copy that.",PROBLEM
Thank you guys for repairing the cow.,INFORMATION
"Does Yuki have a problem or he made a mistake? Made a mistake, made a mistake. Let's try to clear Sergeant and then we help Yuki.",INFORMATION
"Turn 10 with the tailwind, we'll have to look after it there. Yeah, no worries. I was exploring a bit as well.",INFORMATION
"Okay, let's be clever. Your choice.",ORDER
"It is a tailwind into the last chicane, yeah. Round turn 16-17.",QUESTION
Attraction is pretty full. Copy that. There are 20 laps remaining.,INFORMATION
"The grip of the steering wheel is falling apart. It's okay for this race, but I think next one we need a refurnish or something.",PROBLEM
"Okay, understood. We'll fault that.",INFORMATION
"Fail B02, OK, urgent.",ORDER
This is new material so I wouldn't be surprised if it just takes a lap or two to bed in. I wouldn't be too alarmed at the moment. We'll keep looking.,INFORMATION
"I think balance was not too bad. It's a bit more grip than yesterday. A bit more loose at the exit of turn seven. Okay, mate, we will speak to you shortly when you jump out. Yeah, and the brakes, the brakes is usually straight away good, so it's not normal that it's not good at all to start with. Okay, understood.",INFORMATION
18 laps to go. We think we can get Russell here. Let's keep pushing.,ORDER
"Do you see anything with the brakes? We're still looking at Esteban, same feeling as the previous lap, question? Little bit better but not by much. Okay, I understood this is...",QUESTION
Any signs of graining on any car on the hub? Only very small amounts later in the stint.,QUESTION
"If anything, S-Bahn, we think the limitation will be the front left tyre, so let's try and keep on top of that with switchers if we can.",ORDER
"Clutch drop absolutely spot on, same again please.",PROBLEM
"Yeah, it's raining quite heavy now. Copy that. Next two cars in front of Perez and Albon.",WARNING
"Possible debris 567, stay on line.",WARNING
"Right, temps are good, push at this entry.",ORDER
"There's a yellow flag after turn one, could be debris.",WARNING
"There was no space for both of us there so... Yeah, copy that.",PROBLEM
"Sainz has a piece of wing hanging, no?",PROBLEM
"Tell me when you want maximum pace. Yeah, will do. Keep what you're doing for now, please. Ferrari are getting frustrated behind. Keep it up.",INFORMATION
possible rain in 15 minutes only light,INFORMATION
"This is going to be very, very heavy rain Esteban, massive.",WARNING
"Okay, mate, we need scenario five. This is going to be extremely heavy rain. It's going to get much, much heavier.",WARNING
"This is the world's decision, guys.",ORDER
Taking a chance.,INFORMATION
"Okay mate, half the field have not pitted, they're all bunched up between 11 and 13. We can get a load of people here.",INFORMATION
"Okay mate, so it'll be recharge on at turn 7 this time. How's the balance please? Balance is okay so far. Okay mate, keep your pace up and go to the grid please, go to the grid. Okay mate, and if you can test your drinks kit if you haven't already as well. Okay, go to the back of the grid, come to a stop and go to P1.",ORDER
"Safety car, safety car, stay out, stay out.",WARNING
"There's a bit of a weird shift, 6 to 7, on the last corner. Copy that, we'll have a look.",PROBLEM
"Okay mate, some of these switch changes are related to that shift, we're trying to improve it.",INFORMATION
"If Sainz in front is pitted, that puts us P6 at the moment.",INFORMATION
"Are we doing max push on these tyres? Status 3 for now please, Norris 1.4 behind, 26 laps to go.",QUESTION
"The bind point find didn't work, the first one. Okay man, understood. We'll have a look at that.",INFORMATION
"No, no!",PROBLEM
"Any final comments on balance or ride? Very easy, very very easy. We ride at the moment. The car is very comfortable.",INFORMATION
"Okay Lando, what is the pace? What is the pace? Oh man! Oh, yep, oh good. P-zero mate.",QUESTION
one and a half and down one and a half down,INFORMATION
"Digestion, yellow G2 Yeah, none of this is helping mate Ok mate, we are trying here our best as well Yeah, I can understand Ok",INFORMATION
suggestion green f2 green f2,ORDER
Up three.,ORDER
"Oh, I don't know. Three down, three whatever. Doesn't make a difference.",INFORMATION
